Accession,Planting,Country,State,County,Google_Latitude,Google_Longitude,PosNum,LCMSplantingID,Ozark_Chinquapin,ID,num_traits,Date,num_values,Surv,Notes,sEmergeDate,lEmergeDate
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stNum,2024-09-17,1,Y,NA,NA,2024-04-01
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,basDia,2024-05-03,1.76,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,basDia,2024-06-13,2.49,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,basDia,2024-07-12,1.71,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,basDia,2024-08-15,3.27,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,basDia,2024-09-17,3.42,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafL,2024-05-03,NA,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafL,2024-06-13,9.5,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafL,2024-07-12,9.5,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafL,2024-08-15,9.5,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafL,2024-09-17,9.7,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafN,2024-05-03,7,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafN,2024-06-13,7,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafN,2024-07-12,7,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafN,2024-08-15,7,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafN,2024-09-17,18,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafW,2024-05-03,NA,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafW,2024-06-13,3.8,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafW,2024-07-12,4,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafW,2024-08-15,4.3,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,leafW,2024-09-17,4.2,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stLeng,2024-05-03,11,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stLeng,2024-06-13,12.4,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stLeng,2024-07-12,13.2,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stLeng,2024-08-15,12.8,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stLeng,2024-09-17,18.4,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stNum,2024-05-03,1,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stNum,2024-06-13,1,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stNum,2024-07-12,1,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stNum,2024-08-15,1,Y,NA,2024-04-01,2024-04-08
2024-0276,7,United States,Arkansas,Searcy,35.24302748,-91.73355094,5,2024-0276-7,TRUE,107 - 7,stNum,2024-09-17,2,Y,NA,2024-04-01,2024-04-08
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,basDia,2024-05-03,2.6,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,basDia,2024-06-13,3.44,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,basDia,2024-07-12,1.83,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,basDia,2024-08-15,3.73,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,basDia,2024-09-17,4.86,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafL,2024-05-03,10.8,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafL,2024-06-13,11.4,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafL,2024-07-12,10.5,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafL,2024-08-15,10.9,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafL,2024-09-17,10.8,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafN,2024-05-03,8,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafN,2024-06-13,9,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafN,2024-07-12,9,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafN,2024-08-15,9,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafN,2024-09-17,11,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafW,2024-05-03,5.1,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafW,2024-06-13,5,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafW,2024-07-12,5,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafW,2024-08-15,5.2,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,leafW,2024-09-17,5.1,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stLeng,2024-05-03,12.1,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stLeng,2024-06-13,12.2,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stLeng,2024-07-12,13.5,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stLeng,2024-08-15,13.4,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stLeng,2024-09-17,12.3,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stNum,2024-05-03,1,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stNum,2024-06-13,1,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stNum,2024-07-12,1,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stNum,2024-08-15,1,Y,NA,2024-03-18,2024-04-01
2024-0262,4,United States,Oklahoma,Adair,35.90077701,-94.66359708,11,2024-0262-4,TRUE,50 - 4,stNum,2024-09-17,3,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-18,2024-04-01
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,basDia,2024-05-03,1.64,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,basDia,2024-06-13,2.06,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,basDia,2024-07-12,1.49,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,basDia,2024-08-15,2.55,Y,Second stem very new,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,basDia,2024-09-17,3.52,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafL,2024-05-03,6.7,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafL,2024-06-13,7.4,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafL,2024-07-12,6.5,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafL,2024-08-15,6.9,Y,Second stem very new,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafL,2024-09-17,10.7,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafN,2024-05-03,6,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafN,2024-06-13,6,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafN,2024-07-12,5,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafN,2024-08-15,12,Y,Second stem very new,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafN,2024-09-17,23,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafW,2024-05-03,3.3,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafW,2024-06-13,3.1,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafW,2024-07-12,3,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafW,2024-08-15,3.3,Y,Second stem very new,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,leafW,2024-09-17,4.6,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stLeng,2024-05-03,6.9,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stLeng,2024-06-13,6.7,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stLeng,2024-07-12,6.5,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stLeng,2024-08-15,7.7,Y,Second stem very new,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stLeng,2024-09-17,9.3,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stNum,2024-05-03,1,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stNum,2024-06-13,1,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stNum,2024-07-12,1,Y,NA,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stNum,2024-08-15,2,Y,Second stem very new,2024-03-11,2024-04-15
2024-0253,9,United States,Missouri,Barry,36.71275301,-93.84828622,12,2024-0253-9,TRUE,36 - 9,stNum,2024-09-17,3,Y,"2nd and 3rd stems are new growth, no leaves yet.",2024-03-11,2024-04-15
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,basDia,2024-05-03,0.87,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,basDia,2024-06-13,2.03,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,basDia,2024-07-12,1.23,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,basDia,2024-08-15,2.57,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,basDia,2024-09-17,3.68,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafL,2024-05-03,5.5,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafL,2024-06-13,6.7,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafL,2024-07-12,7,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafL,2024-08-15,7.1,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafL,2024-09-17,12.6,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafN,2024-05-03,6,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafN,2024-06-13,9,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafN,2024-07-12,8,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafN,2024-08-15,13,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafN,2024-09-17,17,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafW,2024-05-03,2.8,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafW,2024-06-13,3,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafW,2024-07-12,2.5,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafW,2024-08-15,2.8,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,leafW,2024-09-17,4.9,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stLeng,2024-05-03,7.3,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stLeng,2024-06-13,9.2,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stLeng,2024-07-12,9.5,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stLeng,2024-08-15,12,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stLeng,2024-09-17,17.8,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stNum,2024-05-03,1,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stNum,2024-06-13,1,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stNum,2024-07-12,1,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stNum,2024-08-15,1,Y,NA,NA,2024-04-01
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,stNum,2024-09-17,1,Y,NA,NA,2024-04-01
2024-0246,12,United States,Arkansas,Benton,34.57234647,-92.57485385,18,2024-0246-12,TRUE,27 - 12,basDia,2024-05-03,2.44,Y,NA,2024-03-18,2024-04-01
2024-0246,12,United States,Arkansas,Benton,34.57234647,-92.57485385,18,2024-0246-12,TRUE,27 - 12,basDia,2024-06-13,3.21,Y,NA,2024-03-18,2024-04-01
2024-0246,12,United States,Arkansas,Benton,34.57234647,-92.57485385,18,2024-0246-12,TRUE,27 - 12,basDia,2024-07-12,2.41,Y,NA,2024-03-18,2024-04-01
