PosNum,LCMSplantingID,Accession,Planting,Ozark_Chinquapin,ID,Date.1,sEmerge.1,lEmerge.1,Surv.1,basDia.1,stNum.1,stLeng.1,leafL.1,leafW.1,leafN.1,L.stg.1.1,L.stg.2.1,L.stg.3.1,L.stg.4.1,Notes.1,Date.2,sEmerge.2,lEmerge.2,Surv.2,stNum.2,stLeng.2,basDia.2,leafN.2,leafL.2,leafW.2,Notes.2,Date.3,sEmerge.3,lEmerge.3,sEmergeDate,lEmergeDate,Surv.3,stNum.3,stLeng.3,basDia.3,leafN.3,leafL.3,leafW.3,Notes.3,Date.4,Surv.4,stNum.4,stLeng.4,basDia.4,leafN.4,leafL.4,leafW.4,Notes.4,Date.5,Surv.5,stNum.5,stLeng.5,basDia.5,leafN.5,leafL.5,leafW.5,Notes.5
19,2024-0242-2,2024-0242,2,T,22 - 2,5/3/24,Y,Y,Y,1.41,1,6.4,2,1.1,7,Y,N,N,N,,6/13/24,Y,Y,Y,1,7.9,1.66,11,4.5,2.9,,7/12/24,Y,Y,2/28/24,4/15/24,Y,1,8.5,1.31,11,5,3,,8/15/24,Y,1,8.6,2.51,11,5,3.2,,9/17/24,Y,1,8.4,2.94,11,5,3.5,Water stressed leaves
20,2024-0227-1,2024-0227,1,T,3 - 1,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
21,2024-0239-12,2024-0239,12,T,17 - 12,5/3/24,Y,Y,Y,2.26,1,10.3,7.1,3.4,5,Y,Y,Y,N,,6/13/24,Y,Y,Y,1,10.6,3.51,6,8.7,3.9,,7/12/24,Y,Y,2/20/24,4/8/24,Y,1,12,2.19,6,8.5,4,,8/15/24,Y,1,12.7,3.05,6,8.8,3.7,,9/17/24,Y,1,10.9,4.66,5,9.2,3.9,
22,2024-0274-4,2024-0274,4,T,103 - 4,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
23,2024-0239-5,2024-0239,5,T,17 - 5,5/3/24,N,N,Y,1,2,4.5,1.1,0.4,3,Y,Y,N,N,,6/13/24,N,N,Y,1,10.9,1.37,6,8,3.9,,7/12/24,N,N,-,,Y,1,11.3,1.35,6,7.5,3,,8/15/24,Y,1,12,2.72,6,8,3.2,,9/17/24,Y,1,11.3,5.03,18,10.3,4.8,
24,2024-0241-15,2024-0241,15,T,19 - 15,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
25,2024-0230-4,2024-0230,4,F,6 - 4,5/3/24,Y,N,Y,0.77,3,0.6,NA,NA,0,Y,N,N,N,,6/13/24,Y,N,Y,4,1.1,DNR,0,NA,NA,,7/12/24,Y,N,4/22/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
26,2024-0244-10,2024-0244,10,T,24 - 10,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
27,2024-0250-10,2024-0250,10,T,31 - 10,5/3/24,Y,N,Y,2.27,1,9.2,4.6,2.7,6,Y,Y,Y,Y,,6/13/24,Y,N,Y,1,8.1,2.5,11,6.2,3.2,,7/12/24,Y,N,3/18/24,,Y,1,8,1.92,11,6,3,,8/15/24,Y,1,8.8,3.22,11,6.2,3.3,"Looks like apical meristem died, lateral meristems taking dominance",9/17/24,Y,2,9,4.85,11,6.1,3.4,"2nd and 3rd stems are new growth, no leaves yet. "
28,2024-0226-6,2024-0226,6,T,2 - 6,5/3/24,N,N,Y,0.72,1,1,NA,NA,0,Y,N,N,N,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
29,2024-0257-3,2024-0257,3,T,42 - 3,5/3/24,Y,N,Y,2.39,1,7.7,6.5,3.3,12,Y,Y,Y,N,Split stem.,6/13/24,Y,N,Y,1,7.9,4.36,14,7,3.5,,7/12/24,Y,N,3/5/24,,Y,1,8,1.89,14,6.5,3.5,,8/15/24,Y,2,8.8,2.31,14,6.8,3.5,,9/17/24,Y,3,11.8,5.47,28,9.3,5.2,
30,2024-0256-5,2024-0256,5,T,41 - 5,5/3/24,Y,N,Y,1.89,1,7.9,7.8,3.2,6,Y,Y,Y,N,,6/13/24,Y,N,Y,1,9.7,2.56,9,9.1,4,,7/12/24,Y,N,3/11/24,,Y,1,10.5,2.36,9,9,4,,8/15/24,Y,1,10.4,3.36,9,9,4.3,,9/17/24,Y,2,11.4,5.37,20,10.3,4.7,
31,2024-0257-14,2024-0257,14,T,42 - 14,5/3/24,Y,Y,Y,2.34,1,10.8,6.7,3.5,6,Y,Y,Y,Y,,6/13/24,Y,Y,Y,1,9.7,3.01,8,7.8,3.5,,7/12/24,Y,Y,3/18/24,4/15/24,Y,1,10,3.13,8,7.5,3.5,,8/15/24,Y,1,10.9,4.02,8,7,3.4,"Apical meristem died back, two prominent branches",9/17/24,Y,3,22.8,4.32,20,11.2,6.1,
32,2024-0234-3,2024-0234,3,T,10 - 3,5/3/24,Y,N,Y,1.26,2,2.8,0.5,0.3,1,Y,Y,N,N,,6/13/24,Y,N,Y,2,9.5,1.88,11,8.9,4.5,,7/12/24,Y,Y,4/1/24,4/29/24,Y,1,9.5,1.81,8,11,5,,8/15/24,Y,1,9.7,3.07,8,10.7,5.2,,9/17/24,Y,1,10.8,3.85,15,14.1,6.2,"Had a 2nd stem, but it now appears dead. "
33,2024-0225-3,2024-0225,3,T,1 - 3,5/3/24,Y,N,Y,2.21,1,1.5,NA,NA,0,Y,N,N,N,Split stem.,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,4/1/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
34,2024-0247-7,2024-0247,7,T,28 - 7,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
35,2024-0254-1,2024-0254,1,F,38 - 1,5/3/24,N,N,Y,NA,2,0.6,NA,NA,0,Y,Y,N,N,Too small to measure basal diameter.,6/13/24,N,N,Y,2,2.1,0.74,0,NA,NA,,7/12/24,N,N,-,,Y,1,7,0.85,7,6.5,3,,8/15/24,Y,1,10.1,2.33,11,8.7,3,,9/17/24,Y,1,15.7,3.05,18,15.3,6.2,
36,2024-0265-5,2024-0265,5,T,66 - 5,5/3/24,N,Y,Y,1.46,1,4.8,2.8,1.6,4,Y,Y,N,Y,,6/13/24,N,Y,Y,1,8,2.18,6,10.1,4.3,,7/12/24,N,Y,-,4/22/24,Y,1,9,2.25,6,10,4,,8/15/24,Y,1,9.6,3.46,6,10.2,4.2,,9/17/24,Y,1,12.3,4.71,13,14.2,6.5,
37,2024-0253-4,2024-0253,4,T,36 - 4,5/3/24,Y,Y,Y,1.11,2,5.8,2.5,1.4,4,Y,Y,Y,N,,6/13/24,Y,Y,Y,2,6.7,1.91,6,5.9,3,,7/12/24,Y,Y,2/28/24,4/8/24,Y,1,7.5,1.89,6,5.5,3,,8/15/24,Y,1,7.7,2.21,11,5.6,3,"Two lower branches might be growing, taking dominance",9/17/24,Y,1,13.1,2.71,24,10.9,5.1,"Had a 2nd stem, but it now appears dead. "
38,2024-0259-19,2024-0259,19,F,45 - 19,5/3/24,Y,N,Y,0.65,2,2.2,0.5,0.2,1,Y,Y,N,N,,6/13/24,Y,N,Y,1,2.1,0.97,0,NA,NA,,7/12/24,Y,Y,2/28/24,4/29/24,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
39,2024-0241-3,2024-0241,3,T,19 - 3,5/3/24,N,Y,Y,1.77,1,7.1,6.5,2.8,7,Y,Y,Y,N,,6/13/24,N,Y,Y,1,5.2,2.89,8,7,3.5,,7/12/24,N,Y,-,3/18/24,Y,1,6,2.99,8,7,3.5,,8/15/24,Y,1,6.5,3.34,13,6.2,3.3,"Apical meristem died back, two prominent branches",9/17/24,Y,1,8.7,5.19,17,13.1,6.2,
40,2024-0266-11,2024-0266,11,T,76 - 11,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
41,2024-0244-7,2024-0244,7,T,24 - 7,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
42,2024-0241-6,2024-0241,6,T,19 - 6,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
43,2024-0259-14,2024-0259,14,F,45 - 14,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
44,2024-0241-1,2024-0241,1,T,19 - 1,5/3/24,N,N,Y,1.28,1,0.3,NA,NA,0,N,N,N,N,May be dying.,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
45,2024-0269-5,2024-0269,5,T,93 - 5,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
46,2024-0233-1,2024-0233,1,F,9 - 1,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,Y,1,6,1.19,9,2.3,1.8,,7/12/24,Y,Y,5/20/24,5/20/24,Y,1,7.5,1.26,4,5,2.5,,8/15/24,Y,1,7.8,1.81,10,5.5,2.6,Most leaves very small and shriveled,9/17/24,Y,1,6.3,2.19,9,6.2,2.3,Leaves are small and appear stressed. 
47,2024-0247-16,2024-0247,16,T,28 - 16,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
48,2024-0274-5,2024-0274,5,T,103 - 5,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
49,2024-0269-3,2024-0269,3,T,93 - 3,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
50,2024-0259-5,2024-0259,5,F,45 - 5,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
51,2024-0233-6,2024-0233,6,F,9 - 6,5/3/24,Y,N,Y,NA,4,0.3,NA,NA,0,Y,Y,N,N,Too small to measure basal diameter.,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,4/15/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
52,2024-0260-4,2024-0260,4,T,48 - 4,5/3/24,Y,N,Y,1.81,1,0.3,NA,NA,0,Y,Y,N,N,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,2/6/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
53,2024-0246-13,2024-0246,13,T,27 - 13,5/3/24,Y,N,Y,1.82,1,6.2,1.2,0.6,3,Y,Y,Y,N,,6/13/24,Y,N,Y,1,8.9,3.64,6,10,4.4,,7/12/24,Y,Y,3/25/24,4/29/24,Y,1,10,1.84,6,9.5,4.5,,8/15/24,Y,1,9.7,2.96,6,9.9,4.6,,9/17/24,Y,1,9.1,5.09,12,9.4,4.5,
54,2024-0237-16,2024-0237,16,T,13 - 16,5/3/24,Y,Y,Y,2.02,1,13.8,5.6,3.7,8,Y,Y,Y,Y,,6/13/24,Y,Y,Y,1,14.1,3.08,10,10.1,4.1,,7/12/24,Y,Y,3/11/24,4/1/24,Y,1,15,2.12,7,10,4,,8/15/24,Y,1,15.5,3.5,9,9.7,4.2,,9/17/24,Y,2,14.8,4.39,20,10.2,4.4,"2nd stem new, only 1 open leaf. "
55,2024-0252-9,2024-0252,9,T,35 - 9,5/3/24,Y,Y,Y,1.72,3,1.7,NA,NA,0,Y,Y,N,Y,,6/13/24,Y,Y,Y,2,2.4,1.79,0,NA,NA,,7/12/24,Y,Y,3/5/24,4/15/24,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
56,2024-0235-4,2024-0235,4,T,11 - 4,5/3/24,Y,N,Y,2.27,1,0.8,NA,NA,0,Y,Y,N,N,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,2/13/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
57,2024-0276-14,2024-0276,14,T,107 - 14,5/3/24,Y,N,Y,1.71,1,6,0.5,0.2,1,Y,Y,N,N,,6/13/24,Y,N,Y,1,5.6,1.83,2,1.2,0.8,,7/12/24,Y,Y,4/1/24,5/6/24,Y,1,6,1.74,7,1,0.5,,8/15/24,Y,1,6.7,2.02,6,1.3,1,Poor condition,9/17/24,Y,1,5.8,1.99,2,0.9,0.6,"Many dead leaves, only 2 living leaves remaining. "
58,2024-0260-12,2024-0260,12,T,48 - 12,5/3/24,Y,N,Y,1.96,1,2.1,0.4,0.2,1,Y,Y,N,N,,6/13/24,Y,N,Y,1,3.2,2.02,0,NA,NA,,7/12/24,Y,Y,3/5/24,5/6/24,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
59,2024-0226-4,2024-0226,4,T,2 - 4,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,Y,2,1.6,0.72,0,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
60,2024-0262-5,2024-0262,5,T,50 - 5,5/3/24,Y,Y,Y,2.25,1,8.4,9,3.8,13,Y,Y,Y,N,,6/13/24,Y,Y,Y,1,8.4,3.22,15,8.3,3.8,,7/12/24,Y,Y,3/18/24,4/15/24,Y,1,8.5,3.12,13,8,3.5,,8/15/24,Y,1,8.8,3.44,15,8.1,3.8,"Apical meristem died back, three branches prominent",9/17/24,Y,2,17.3,3.97,28,9.8,5.5,"2nd stem new, only 1 open leaf. "
61,2024-0234-1,2024-0234,1,T,10 - 1,5/3/24,Y,Y,Y,1.84,1,6.4,8.4,3.9,8,Y,Y,Y,N,,6/13/24,Y,Y,Y,1,6.3,2.72,8,8.1,4,,7/12/24,Y,Y,2/20/24,2/28/24,Y,1,6,2.12,8,7,3.5,,8/15/24,Y,1,6.2,2.38,8,7.3,3.8,,9/17/24,Y,2,5.8,3.35,25,11.4,4.8,
62,2024-0230-8,2024-0230,8,F,6 - 8,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
63,2024-0254-6,2024-0254,6,F,38 - 6,5/3/24,N,N,Y,0.85,2,2.5,0.7,0.4,3,Y,Y,Y,N,,6/13/24,N,N,Y,1,7.3,1.81,11,9.5,4.1,,7/12/24,N,Y,-,4/29/24,Y,1,9,2.19,8,9,4,,8/15/24,Y,1,9.4,2.54,8,9,4.3,,9/17/24,N,NA,NA,NA,NA,NA,NA,"""Died"" recently. All leaves dead and attached. Could resprout. "
64,2024-0247-17,2024-0247,17,T,28 - 17,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
