SAMPLE	MISSING_RATE	AVG_DP	AVG_GQ
Castanea_220	0.0501	12.39	38.71
Castanea_222	0.0381	13.88	42.05
Castanea_224	0.0496	11.04	34.70
Castanea_226	0.0391	11.98	36.95
Castanea_228	0.0527	11.35	35.99
Castanea_235	0.0383	11.81	36.88
Castanea_236	0.0393	13.56	38.64
Castanea_237	0.0392	11.87	37.66
Castanea_245	0.0468	11.24	35.19
Castanea_246	0.0423	12.40	39.05
Castanea_250	0.0524	11.62	36.61
Castanea_253	0.0372	11.98	37.42
Castanea_258	0.0457	11.17	35.17
Castanea_260	0.0338	13.40	40.85
Castanea_263	0.0315	12.51	39.20
Castanea_265	0.0339	12.38	38.19
Castanea_267	0.0314	13.55	41.60
Castanea_272	0.0389	13.00	39.56
Castanea_274	0.0315	13.46	40.68
Castanea_280	0.0348	11.69	37.35
Castanea_285	0.0334	12.23	37.98
Castanea_294	0.0387	12.13	36.46
Castanea_296	0.0648	10.52	32.83
Castanea_301	0.0386	12.52	39.15
Castanea_304	0.0399	12.81	39.32
Castanea_306	0.0291	13.91	42.58
Castanea_310	0.0367	13.34	39.39
Castanea_313	0.0402	13.17	39.69
Castanea_315	0.0371	12.56	39.38
Castanea_316	0.0395	12.04	37.48
Castanea_317	0.0400	11.63	36.77
Castanea_318	0.0331	13.79	40.92
Castanea_323	0.0331	12.16	38.50
Castanea_324	0.0369	12.00	37.11
Castanea_326	0.0330	12.13	37.96
Castanea_327	0.0347	11.98	37.39
Castanea_331	0.0403	12.98	39.76
Castanea_335	0.0398	11.47	36.15
Castanea_337	0.0372	11.78	36.91
Castanea_338	0.0329	11.96	37.18
Castanea_348	0.0349	12.74	39.68
Castanea_349	0.0314	12.45	39.20
Castanea_350	0.0315	12.82	40.19
Castanea_352	0.0708	9.92	32.17
Castanea_355	0.0531	10.55	33.77
Castanea_357	0.0583	10.66	34.09
Castanea_358	0.0506	10.76	33.80
Castanea_362	0.0312	13.00	40.45
Castanea_365	0.0356	12.13	37.82
Castanea_368	0.0360	14.17	42.13
Castanea_370	0.0438	11.69	36.42
Castanea_373	0.0380	12.29	39.38
Castanea_376	0.0444	11.81	36.65
Castanea_379	0.0299	13.12	40.41
Castanea_381	0.0337	12.22	38.38
Castanea_384	0.0331	12.10	38.19
Castanea_386	0.0550	10.76	35.23
Castanea_387	0.0438	11.78	36.73
Castanea_389	0.0320	12.61	38.65
Castanea_391	0.0628	10.15	32.61
Castanea_392	0.0478	10.94	35.58
Castanea_394	0.0426	11.96	37.74
Castanea_396	0.0327	12.02	38.19
Castanea_398	0.0430	12.64	39.63
Castanea_399	0.0370	11.71	36.81
Castanea_402	0.0321	13.19	40.65
Castanea_403	0.0430	10.90	34.92
Castanea_406	0.0357	12.34	38.35
Castanea_407	0.0346	12.42	39.07
Castanea_411	0.0348	12.28	38.17
Castanea_414	0.0492	11.59	35.61
Castanea_415	0.0257	13.49	42.02
Castanea_421	0.0280	12.94	40.49
Castanea_424	0.0322	53.90	98.30
Castanea_427	0.0427	14.60	41.48
Castanea_429	0.0341	12.70	39.85
Castanea_432	0.0237	14.01	43.14
Castanea_435	0.0304	12.30	38.20
Castanea_439	0.0340	13.48	41.28
Castanea_440	0.0388	12.96	40.20
Castanea_441	0.0273	13.48	41.17
Castanea_442	0.0438	12.26	36.95
Castanea_443	0.0330	12.73	39.32
Castanea_444	0.0313	13.81	42.56
Castanea_448	0.0254	14.60	44.17
Castanea_449	0.0586	10.34	33.47
Castanea_450	0.0293	13.71	42.04
Castanea_452	0.0295	13.77	42.63
Castanea_453	0.0330	13.98	42.46
Castanea_456	0.0419	14.03	42.55
Castanea_457	0.0291	14.26	43.65
Castanea_459	0.0383	11.91	37.87
Castanea_462	0.0374	12.77	39.95
Castanea_463	0.0327	13.05	40.14
Castanea_465	0.0447	11.53	36.48
Castanea_466	0.0306	13.74	41.75
Castanea_467	0.0364	11.58	36.81
Castanea_469	0.0363	11.91	38.47
Castanea_471	0.0769	11.91	43.99
Castanea_472	0.0091	23.50	65.59
Castanea_473	0.0098	27.01	72.48
Castanea_474	0.0230	15.48	46.90
Castanea_475	0.0161	18.21	53.01
Castanea_478	0.0171	17.83	52.34
Castanea_479	0.0141	17.64	51.61
Castanea_480	0.0134	20.09	57.53
Castanea_482	0.0167	17.88	51.34
Castanea_485	0.0161	16.17	48.62
Castanea_486	0.0130	20.02	57.78
Castanea_487	0.0297	18.55	58.50
Castanea_488	0.0158	20.48	58.55
Castanea_493	0.0254	18.76	52.47
Castanea_496	0.0168	18.76	54.21
Castanea_498	0.0139	20.57	59.19
Castanea_499	0.0343	18.65	51.70
Castanea_500	0.0171	17.43	51.67
Castanea_503	0.0155	18.35	53.53
Castanea_504	0.0144	18.76	54.08
Castanea_510	0.0209	16.52	48.94
Castanea_511	0.0138	20.58	59.13
Castanea_514	0.0187	17.77	52.70
Castanea_515	0.0224	15.03	45.17
Castanea_517	0.0183	16.27	48.77
Castanea_518	0.0246	16.01	47.98
Castanea_519	0.0161	19.70	56.58
Castanea_520	0.0247	18.56	53.77
Castanea_521	0.0402	14.41	43.44
Castanea_523	0.0150	19.77	56.55
Castanea_524	0.0264	17.18	49.34
Castanea_528	0.0147	18.38	54.41
Castanea_530	0.0227	16.10	48.78
Castanea_531	0.0533	16.18	47.61
Castanea_532	0.0779	14.72	43.95
Castanea_534	0.0628	13.10	40.66
Castanea_535	0.0313	15.22	45.70
Castanea_538	0.0417	15.24	45.60
Castanea_539	0.0516	15.16	45.31
Castanea_540	0.0366	16.46	54.38
Castanea_541	0.0158	17.05	50.76
Castanea_542	0.0334	13.60	40.78
Castanea_545	0.0591	11.40	36.50
Castanea_548	0.0713	10.95	34.74
Castanea_550	0.0337	12.94	40.34
Castanea_560	0.0451	12.82	40.25
Castanea_561	0.0140	21.14	59.90
Castanea_564	0.0243	15.50	46.93
Castanea_567	0.0228	18.26	53.01
Castanea_569	0.0704	11.73	37.09
Castanea_570	0.0165	16.43	48.90
Castanea_571	0.0209	16.44	48.67
Castanea_572	0.0226	15.41	46.71
Castanea_576	0.0183	16.81	50.23
Castanea_582	0.0225	15.09	44.40
Castanea_585	0.0376	15.65	46.06
Castanea_586	0.0161	17.11	50.78
Castanea_588	0.0461	13.96	42.80
Castanea_589	0.0312	13.30	40.84
Castanea_590	0.0725	13.91	42.01
Castanea_592	0.0195	17.25	51.13
Castanea_593	0.0490	13.80	42.33
Castanea_598	0.0391	18.47	51.49
Castanea_599	0.0563	16.08	48.03
Castanea_600	0.0550	16.16	47.59
Castanea_601	0.0830	14.63	43.87
Castanea_604	0.0401	15.27	46.59
Castanea_607	0.0456	12.42	38.53
Castanea_608	0.0270	15.90	47.57
Castanea_609	0.0197	18.08	52.67
Castanea_610	0.0515	12.77	39.43
Castanea_611	0.0371	15.18	44.02
Castanea_612	0.0441	13.54	41.42
Castanea_613	0.0365	12.40	39.54
Castanea_614	0.0228	14.63	44.44
Castanea_615	0.0232	19.62	55.33
Castanea_616	0.0225	14.52	43.76
Castanea_617	0.0159	16.46	48.79
Castanea_618	0.0358	12.68	39.10
Castanea_621	0.0332	12.80	40.10
Castanea_622	0.0532	11.92	36.77
Castanea_623	0.0351	12.31	38.24
Castanea_624	0.0782	10.81	33.48
Castanea_625	0.0282	13.26	40.65
Castanea_626	0.0301	14.27	43.41
Castanea_627	0.0220	15.34	45.92
Castanea_628	0.0321	12.62	39.47
Castanea_629	0.0288	14.96	45.45
Castanea_630	0.0273	14.84	45.18
Castanea_632	0.4661	6.47	21.24
Castanea_633	0.0766	10.86	34.26
Castanea_634	0.5943	5.90	20.06
