SAMPLE	MISSING_RATE	AVG_DP	AVG_GQ
Castanea_148	0.0472	12.84	39.17
Castanea_149	0.0446	11.58	36.50
Castanea_155	0.0567	10.44	35.08
Castanea_156	0.0392	12.38	38.19
Castanea_157	0.0462	11.63	37.19
Castanea_158	0.0345	13.60	42.95
Castanea_159	0.0480	11.48	37.78
Castanea_164	0.0796	9.25	30.01
Castanea_165	0.0423	13.44	41.60
Castanea_167	0.0434	12.32	37.54
Castanea_169	0.0678	10.56	33.37
Castanea_170	0.0430	12.44	38.60
Castanea_176	0.0380	11.33	35.69
Castanea_178	0.0571	11.24	35.75
Castanea_179	0.0486	11.62	36.66
Castanea_180	0.0541	11.15	34.99
Castanea_182	0.0355	12.20	38.49
Castanea_184	0.0432	11.74	36.70
Castanea_186	0.0363	11.90	37.75
Castanea_188	0.1065	10.77	42.05
Castanea_190	0.0519	12.29	37.17
Castanea_192	0.0469	11.39	35.49
Castanea_195	0.0788	10.01	31.82
Castanea_202	0.0502	11.37	32.84
Castanea_203	0.0503	11.79	36.97
Castanea_205	0.0494	11.17	35.77
Castanea_206	0.0447	12.12	38.70
Castanea_207	0.0629	10.10	32.39
Castanea_209	0.0915	9.23	30.86
Castanea_210	0.0513	11.30	35.77
Castanea_212	0.0573	10.54	34.23
Castanea_213	0.0450	10.99	34.94
Castanea_214	0.0595	10.81	36.17
Castanea_215	0.0460	11.59	35.95
Castanea_220	0.0603	11.18	35.05
Castanea_222	0.0458	12.75	38.93
Castanea_224	0.0568	10.49	30.72
Castanea_226	0.0524	10.69	33.97
Castanea_228	0.0703	10.15	33.13
Castanea_235	0.0530	10.81	34.20
Castanea_236	0.0461	12.03	37.17
Castanea_237	0.0456	11.24	35.18
Castanea_245	0.0484	10.76	34.37
Castanea_246	0.0542	11.26	35.44
Castanea_250	0.0585	10.92	34.09
Castanea_253	0.0349	11.63	37.33
Castanea_258	0.0477	10.90	35.50
Castanea_260	0.0386	12.18	38.08
Castanea_263	0.0313	12.04	37.80
Castanea_265	0.0327	12.39	38.61
Castanea_267	0.0418	12.51	35.98
Castanea_272	0.0362	11.86	37.90
Castanea_274	0.0347	12.51	39.17
Castanea_280	0.0331	11.50	36.30
Castanea_285	0.0360	11.78	36.96
Castanea_294	0.0338	11.58	36.22
Castanea_296	0.0630	10.44	33.31
Castanea_301	0.0423	11.88	38.19
Castanea_304	0.0380	12.22	35.99
Castanea_306	0.0347	12.67	39.11
Castanea_310	0.0408	12.06	39.49
Castanea_313	0.0394	12.07	37.68
Castanea_315	0.0424	11.53	37.94
Castanea_316	0.0329	12.10	37.80
Castanea_317	0.0446	10.90	34.36
Castanea_318	0.0340	13.17	37.62
Castanea_323	0.0309	11.84	37.11
Castanea_324	0.0384	11.41	35.19
Castanea_326	0.0323	11.51	36.73
Castanea_327	0.0341	11.82	37.38
Castanea_331	0.0392	12.54	36.05
Castanea_335	0.0393	11.32	36.22
Castanea_337	0.0398	11.43	36.02
Castanea_338	0.0350	11.58	37.28
Castanea_348	0.0369	11.84	37.12
Castanea_349	0.0323	11.83	36.89
Castanea_350	0.0297	12.44	38.40
Castanea_352	0.0751	9.44	30.16
Castanea_355	0.0562	10.14	32.65
Castanea_357	0.0592	10.17	32.60
Castanea_358	0.0592	10.01	32.73
Castanea_362	0.0331	12.32	40.40
Castanea_365	0.0341	11.77	36.52
Castanea_368	0.0484	12.42	38.24
Castanea_370	0.0434	11.12	35.29
Castanea_373	0.0362	11.95	37.23
Castanea_376	0.0431	11.32	35.75
Castanea_379	0.0343	12.20	38.96
Castanea_381	0.0331	11.95	37.51
Castanea_384	0.0331	11.80	36.95
Castanea_386	0.0652	10.14	33.27
Castanea_387	0.0483	11.07	34.81
Castanea_389	0.0357	11.62	36.67
Castanea_391	0.0622	9.79	31.23
Castanea_392	0.0468	10.76	36.01
Castanea_394	0.0430	11.58	36.81
Castanea_396	0.0328	11.72	36.56
Castanea_398	0.0481	11.62	36.67
Castanea_399	0.0363	11.35	36.49
Castanea_402	0.0365	12.38	39.95
Castanea_403	0.0388	11.08	35.41
Castanea_406	0.0384	11.87	39.01
Castanea_407	0.0351	11.99	37.12
Castanea_411	0.0382	11.82	37.09
Castanea_414	0.0472	11.45	36.73
Castanea_415	0.0316	12.57	36.38
Castanea_421	0.0287	12.50	38.65
Castanea_424	0.0219	53.00	98.26
Castanea_427	0.0351	12.22	38.48
Castanea_429	0.0317	12.53	38.76
Castanea_432	0.0222	13.51	42.12
Castanea_435	0.0305	11.89	39.39
Castanea_439	0.0360	12.66	39.24
Castanea_440	0.0412	12.07	37.63
Castanea_441	0.0314	12.55	39.28
Castanea_442	0.0374	11.84	38.62
Castanea_443	0.0372	11.79	37.23
Castanea_444	0.0332	13.03	38.21
Castanea_448	0.0276	13.57	41.50
Castanea_449	0.0541	10.07	32.63
Castanea_450	0.0332	12.55	39.64
Castanea_452	0.0312	12.94	41.41
Castanea_453	0.0371	13.32	39.37
Castanea_456	0.0550	12.24	39.73
Castanea_457	0.0326	13.24	40.90
Castanea_459	0.0391	11.63	33.65
Castanea_462	0.0412	12.06	37.52
Castanea_463	0.0422	12.00	37.88
Castanea_465	0.0453	11.19	35.30
Castanea_466	0.0314	12.54	39.61
Castanea_467	0.0355	11.57	36.76
Castanea_469	0.0337	11.51	36.95
Castanea_471	0.0373	12.32	39.45
Castanea_472	0.0085	22.15	62.52
Castanea_473	0.0057	26.22	71.69
Castanea_474	0.0211	15.01	46.27
Castanea_475	0.0155	17.29	51.70
Castanea_478	0.0141	18.17	52.97
Castanea_479	0.0165	16.01	47.81
Castanea_480	0.0143	19.34	56.03
Castanea_482	0.0147	17.13	51.13
Castanea_485	0.0178	15.44	47.25
Castanea_486	0.0119	19.74	57.37
Castanea_487	0.0179	19.00	55.59
Castanea_488	0.0144	19.84	57.12
Castanea_493	0.0128	18.45	54.29
Castanea_496	0.0151	17.13	51.66
Castanea_498	0.0135	19.35	56.35
Castanea_499	0.0228	17.73	49.25
Castanea_500	0.0150	16.62	50.92
Castanea_503	0.0159	17.19	50.90
Castanea_504	0.0133	17.89	52.30
Castanea_510	0.0220	15.55	46.74
Castanea_511	0.0137	19.20	55.15
Castanea_514	0.0191	17.36	51.66
Castanea_515	0.0201	14.67	44.55
Castanea_517	0.0179	15.74	47.37
Castanea_518	0.0261	15.10	45.34
Castanea_519	0.0169	18.75	54.06
Castanea_520	0.0221	17.87	52.87
Castanea_521	0.0448	13.28	41.15
Castanea_523	0.0124	18.70	55.78
Castanea_524	0.0207	17.03	50.14
Castanea_528	0.0152	17.42	51.84
Castanea_530	0.0217	15.59	47.07
Castanea_531	0.0592	15.06	46.18
Castanea_532	0.0646	15.01	45.53
Castanea_534	0.0563	12.99	41.41
Castanea_535	0.0299	14.49	44.41
Castanea_538	0.0369	14.69	44.64
Castanea_539	0.0510	14.65	44.76
Castanea_540	0.0203	16.43	49.12
Castanea_541	0.0142	16.71	50.36
Castanea_542	0.0321	12.55	39.48
Castanea_545	0.0492	11.26	35.94
Castanea_548	0.0745	10.70	34.01
Castanea_550	0.0294	13.04	40.68
Castanea_560	0.0399	12.84	36.82
Castanea_561	0.0127	20.91	59.18
Castanea_564	0.0212	15.48	47.20
Castanea_567	0.0255	16.91	49.65
Castanea_569	0.0620	11.62	36.38
Castanea_570	0.0159	16.18	49.13
Castanea_571	0.0242	14.86	45.89
Castanea_572	0.0221	15.22	45.50
Castanea_576	0.0170	16.84	49.73
Castanea_582	0.0208	14.65	44.25
Castanea_585	0.0281	15.76	47.14
Castanea_586	0.0166	16.35	49.20
Castanea_588	0.0439	13.76	41.57
Castanea_589	0.0289	12.92	40.72
Castanea_590	0.0762	13.25	39.17
Castanea_592	0.0220	16.43	48.99
Castanea_593	0.0438	13.43	42.68
Castanea_598	0.0416	17.98	49.85
Castanea_599	0.0476	16.27	47.91
Castanea_600	0.0528	15.44	45.79
Castanea_601	0.0825	14.02	41.97
Castanea_604	0.0430	14.53	43.61
Castanea_607	0.0459	12.03	37.67
Castanea_608	0.0257	15.30	45.70
Castanea_609	0.0199	17.00	50.28
Castanea_610	0.0551	11.62	37.07
Castanea_611	0.0335	14.40	43.54
Castanea_612	0.0451	13.36	40.97
Castanea_613	0.0343	12.05	37.92
Castanea_614	0.0240	13.68	42.74
Castanea_615	0.0213	17.56	51.87
Castanea_616	0.0221	14.13	43.51
Castanea_617	0.0156	16.28	48.84
Castanea_618	0.0367	12.15	38.51
Castanea_621	0.0357	12.05	38.60
Castanea_622	0.0561	11.18	34.59
Castanea_623	0.0384	11.87	36.92
Castanea_624	0.0871	10.16	32.99
Castanea_625	0.0345	12.56	39.32
Castanea_626	0.0316	13.54	42.01
Castanea_627	0.0239	14.53	44.38
Castanea_628	0.0335	12.18	37.44
Castanea_629	0.0286	14.31	44.14
Castanea_630	0.0255	14.37	44.40
Castanea_632	0.4860	6.22	20.73
Castanea_633	0.0817	10.36	33.71
Castanea_634	0.6077	5.70	19.81
